Competency	Level1	Level2	ValidationMethod	KnowledgeSource	PolicySource	UpdateNote
Medical Surgical Asepsis	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			
Medical Surgical Aseptic Technique - Procedural	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			Medical Surgical Aseptic Technique - Procedural Word Document Updated 6/2019
Colorectal Closure	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			
Electrosurgical Unit with Grounding Pad	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			Electrosurgical Unit with Grounding Pad Word Document Updated 3/2019
Instrument Cleaning	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			
Procedural Tray Set Up	Skin and Wound Care	Aseptic Technique	Non-PeriOp Areas with Procedures - Validated by Observation of Behavior			Procedure Tray Set Up Word Document Updated 1/2020
Procedural Safety	Skin and Wound Care	Aseptic Technique				
Pre-Operative/Pre-Procedural Clipping of Surgical Site	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			Pre-Operative/Pre-Procedural Clipping of Surgical Site Word document update 1/2020
Prevalon AirTAP Patient Repositioning system	Skin and Wound Care	Aseptic Technique				Prevalon AirTap Patient Repositioning system Word document update 3/25/25
Sterile Field Set Up and Maintenance - Procedural	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			Sterile Field Set Up and Maintenance - Procedural Word Documents Updated 1/2020
Sterilization Process	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			
Sterilization Process - Flash Sterilization	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			
Sterilization Process - Steris Process	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			
Surgical Counts	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			Surgical Counts Word Document
Surgical Draping	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			Surgical Draping Word Document Updated 6/2018
Surgical Hand Scrub	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			Surgical Hand Scrub Word Document Updated 6/2019
Surgical Gowning And Gloving	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			Surgical Gowning And Gloving Word Document Updated 6/2019
Surgical Skin Preps	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			
Surgical Sterile Field - Basic	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			
Surgical Sterile Field - Complex	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			
Surgical Technique - Basic	Skin and Wound Care	Aseptic Technique	Validated by Observation of Behavior			Surgical Technique - Basic Word Document Updated 6-2019
Arm Immobilizers	Skin and Wound Care	Patient Positioning - Immobilization	Validated by Observation of Behavior			
